vehicle;ramp;hf_lf_he;air_conditioner;place_for_transp_bicycles;voice_announcement_sys;ticket_machine;ticket_sales_by_the_driver;usb_charger
628;1;1;1;1;1;0;0;1
629;1;1;1;1;1;0;0;1
630;1;1;1;1;1;0;0;1
694;0;0;0;0;1;0;0;0
696;0;0;0;0;1;0;0;0
697;0;0;0;0;1;0;0;0
698;0;0;0;0;1;0;0;0
699;0;0;0;0;1;0;0;0
701;0;0;0;0;1;0;0;0
702;0;0;0;0;1;0;0;0
703;0;0;0;0;1;0;0;0
704;0;0;0;0;1;0;0;0
705;0;0;0;0;1;0;0;0
706;0;0;0;0;1;0;0;0
707;0;0;0;0;1;0;0;0
708;0;0;0;0;1;0;0;0
709;0;0;0;0;1;0;0;0
711;0;0;0;0;1;0;0;0
712;0;0;0;0;1;0;0;0
903;0;0;0;0;1;0;0;0
904;0;0;0;0;1;0;0;0
905;0;0;0;0;1;0;0;0
906;0;0;0;0;1;0;0;0
907;0;0;0;0;1;0;0;0
911;1;2;1;1;1;0;0;1
912;1;2;1;1;1;0;0;1
913;1;2;1;1;1;0;0;1
914;1;2;1;1;1;0;0;1
915;1;2;1;1;1;0;0;1
916;1;2;1;1;1;0;0;1
917;1;2;1;1;1;0;0;1
918;1;2;1;1;1;0;0;1
919;1;2;1;1;1;0;0;1
920;1;2;1;1;1;0;0;1
921;1;1;1;1;1;0;0;1
922;1;1;1;1;1;0;0;1
923;1;1;1;1;1;0;0;1
924;1;1;1;1;1;0;0;1
925;1;1;1;1;1;0;0;1
926;1;1;1;1;1;0;0;1
927;1;1;1;1;1;0;0;1
928;1;1;1;1;1;0;0;1
929;1;1;1;1;1;0;0;1
930;1;1;1;1;1;0;0;1
931;1;1;1;1;1;0;0;1
932;1;1;1;1;1;0;0;1
933;1;1;1;1;1;0;0;1
934;1;1;1;1;1;0;0;1
935;1;1;1;1;1;0;0;1
936;1;1;1;1;1;0;0;1
937;1;1;1;1;1;0;0;1
938;1;1;1;1;1;0;0;1
939;1;1;1;1;1;0;0;1
940;1;1;1;1;1;0;0;1
1050;1;1;0;1;1;0;0;0
1055;1;1;0;1;1;0;0;0
1060;1;1;0;1;1;0;0;0
1061;1;1;0;1;1;0;0;0
1062;1;1;0;1;1;0;0;0
1063;1;1;0;1;1;0;0;0
1064;1;1;0;1;1;0;0;0
1065;1;1;0;1;1;0;0;0
1067;1;1;0;1;1;0;0;0
1068;1;1;0;1;1;0;0;0
1069;1;1;0;1;1;0;0;0
1101;1;1;0;1;1;0;0;0
1102;1;1;0;1;1;0;0;0
1103;1;1;0;1;1;0;0;0
1104;1;1;0;1;1;0;0;0
1105;1;1;0;1;1;0;0;0
1106;1;1;0;1;1;0;0;0
1107;1;1;0;1;1;0;0;0
1108;1;1;0;1;1;0;0;0
1109;1;1;0;1;1;0;0;0
1110;1;1;0;1;1;0;0;0
1111;1;1;1;1;1;0;0;0
1112;1;1;1;1;1;0;0;0
1113;1;1;1;1;1;0;0;0
1114;1;1;1;1;1;0;0;0
1115;1;1;1;1;1;0;0;0
1116;1;1;1;1;1;0;0;0
1117;1;1;1;1;1;0;0;0
1118;1;1;1;1;1;0;0;0
1119;1;1;1;1;1;0;0;0
1120;1;1;1;1;1;0;0;0
1121;1;1;1;1;1;0;0;0
1122;1;1;1;1;1;0;0;0
1123;1;1;1;1;1;0;0;0
1124;1;1;1;1;1;0;0;0
1125;1;1;1;1;1;0;0;0
1126;1;1;1;1;1;0;0;0
1127;1;1;1;1;1;0;0;0
1128;1;1;1;1;1;0;0;0
1129;1;1;1;1;1;0;0;0
1130;1;1;1;1;1;0;0;0
1131;1;1;1;1;1;0;0;0
1132;1;1;1;1;1;0;0;0
1133;1;1;1;1;1;0;0;0
1134;1;1;1;1;1;0;0;0
1135;1;1;1;1;1;0;0;0
1225;1;1;0;1;1;0;0;0
1226;1;1;0;1;1;0;0;0
1227;1;1;0;1;1;0;0;0
1251;1;1;1;1;1;0;0;0
1252;1;1;1;1;1;0;0;0
1253;1;1;1;1;1;0;0;0
1254;1;1;1;1;1;0;0;0
1255;1;1;1;1;1;0;0;0
1256;1;1;1;1;1;0;0;0
1257;1;1;1;1;1;0;0;0
1258;1;1;1;1;1;0;0;0
1259;1;1;1;1;1;2;0;0
1260;1;1;1;1;1;2;0;0
1261;1;1;1;1;1;2;0;0
1262;1;1;1;1;1;2;0;0
1263;1;1;1;1;1;2;0;0
1264;1;1;1;1;1;2;0;0
1265;1;1;1;1;1;2;0;0
1266;1;1;1;1;1;2;0;0
1267;1;1;1;1;1;2;0;0
1268;1;1;1;1;1;2;0;0
1269;1;1;1;1;1;2;0;0
1270;1;1;1;1;1;2;0;0
1271;1;1;1;1;1;2;0;0
1272;1;1;1;1;1;2;0;0
1273;1;1;1;1;1;0;0;0
1274;1;1;1;1;1;0;0;0
1275;1;1;1;1;1;0;0;1
1276;1;1;1;1;1;0;0;1
1277;1;1;1;1;1;0;0;1
1278;1;1;1;1;1;0;0;1
1279;1;1;1;1;1;0;0;1
1280;1;1;1;1;1;0;0;1
1281;1;1;1;1;1;0;0;1
1282;1;1;1;1;1;0;0;1
1283;1;1;1;1;1;0;0;1
1284;1;1;1;1;1;0;0;1
1285;1;1;1;1;1;0;0;1
